Primary Identifier,Defline,Organism,Classification,Synonym,,https://repository.up.ac.za/bitstream/handle/2263/51992/Kulheim_EucalytusAddfile1_2015.xlsx?sequence=3&isAllowed=y
Eucgr.D01102,(1 of 1) 4.2.3.119 - (-)-alpha-pinene synthase / (-)-alpha-pinene/(-)-camphene synthase,E. grandis,sesquiterpene,,,
Eucgr.D01103,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.D01104,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.D01105,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,,,
Eucgr.D01106,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.D01114,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.E00404,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS016,,Eucgr.E00404.1
Eucgr.E00414,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS017,,Eucgr.E00414.1
Eucgr.E00415,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS018,,Eucgr.E00415.1
Eucgr.E00416,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,,,
Eucgr.E00419,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS019,,Eucgr.E00419.1
Eucgr.E02670,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS020,,Eucgr.E02670.1
Eucgr.E03062,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,monoterpene,,,
Eucgr.E03115,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS021,,Eucgr.E03115.1
Eucgr.E03311,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS022,,Eucgr.E03311.1
Eucgr.E03562,(1 of 5) K15086 - (3S)-linalool synthase (TPS14),E. grandis,monoterpene,,,
Eucgr.E03563,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,monoterpene,,,
Eucgr.E03566,(1 of 5) K15086 - (3S)-linalool synthase (TPS14),E. grandis,monoterpene,,,
Eucgr.E03569,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,monoterpene,,,
Eucgr.E03570,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,monoterpene,,,
Eucgr.E03571,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.E03572,(1 of 5) K15086 - (3S)-linalool synthase (TPS14),E. grandis,monoterpene,,,
Eucgr.E03574,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.E03598,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.E03602,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.E03603,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.E03605,(1 of 5) K15086 - (3S)-linalool synthase (TPS14),E. grandis,monoterpene,,,
Eucgr.E03606,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,sesquiterpene,,,
Eucgr.E03610,(1 of 7) 4.2.3.25 - S-linalool synthase / LIS,E. grandis,monoterpene,,,
Eucgr.F03396,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS024,,Eucgr.F03396.1
Eucgr.F03398,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS025,,Eucgr.F03398.1
Eucgr.F03400,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS026,,Eucgr.F03400.3
Eucgr.F03402,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.F03403,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,,,
Eucgr.F03404,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS028,,Eucgr.F03404.1
Eucgr.F03408,(1 of 50) PTHR31225:SF15 - ALPHA-HUMULENE/(-)-(E)-BETA-CARYOPHYLLENE SYNTHASE,E. grandis,sesquiterpene,EgranTPS029,,"Eucgr.F03408.1, Eucgr.F03407.1"
Eucgr.F03409,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,,,
Eucgr.F03412,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS032,,Eucgr.F03412.1
Eucgr.F03413,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS033,,Eucgr.F03413.1
Eucgr.F03855,(1 of 1) K04121 - ent-kaurene synthase (E4.2.3.19),E. grandis,diterpene,EgranTPS093,,Eucgr.F03855.1
Eucgr.G01636,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS034,,Eucgr.G01636.1
Eucgr.H01472,(1 of 1) 5.5.1.13 - Ent-copalyl diphosphate synthase / Ent-kaurene synthetase A,E. grandis,diterpene,EgranTPS090,,Eucgr.H01472.1
Eucgr.H04797,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS035,,Eucgr.H04797.1
Eucgr.H04977,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS036,,Eucgr.H04977.1
Eucgr.H04978,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS037,,Eucgr.H04978.1
Eucgr.J01451,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS038,,Eucgr.J01451.1
Eucgr.J01453,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS040,,Eucgr.J01453.1
Eucgr.K03518,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS041,,Eucgr.K03518.1
Eucgr.L01631,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS042,,Eucgr.L01631.1
Eucgr.L01686,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS043,,Eucgr.L01686.1
Eucgr.L01753,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,EgranTPS087,,Eucgr.L01753.1
Eucgr.L02082,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS044,,Eucgr.L02082.1
Eucgr.L02212,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,EgranTPS088,,Eucgr.L02212.1
Eucgr.L02261,"(1 of 10) 4.2.3.48 - (3S,6E)-nerolidol synthase / Nerolidol synthase",E. grandis,monoterpene,,,
Eucgr.L02296,(1 of 17) 4.2.3.46 - Alpha-farnesene synthase / AFS1,E. grandis,monoterpene,,,
Eucgr.L02298,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS045,,Eucgr.L02298.1
Eucgr.L02418,(1 of 36) 4.2.3.22 - Germacradienol synthase / Germacradienol/germacrene-D synthase,E. grandis,sesquiterpene,EgranTPS046,,Eucgr.L02418.1
Eucgr.L02447,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,,,
Eucgr.L02618,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS048,,Eucgr.L02618.1
Eucgr.L02971,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS049,,Eucgr.L02971.1
Eucgr.L03091,(1 of 5) K15086 - (3S)-linalool synthase (TPS14),E. grandis,monoterpene,EgranTPS113,,Eucgr.L03091.1
Eucgr.L03151,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,EgranTPS050,,Eucgr.L03151.1
Eucgr.L03307,(1 of 27) K15803 - (-)-germacrene D synthase (GERD),E. grandis,sesquiterpene,EgranTPS051,,Eucgr.L03307.1
Eucgr.L03538,(1 of 47) 4.2.3.75 - (-)-germacrene D synthase,E. grandis,sesquiterpene,,,
